x coordinates,1,0.994415413,0.977786403,0.950484434,0.913119387,0.866525936,0.811744901,0.75,0.682670512,0.611260467,0.537365047,0.462634953,0.388739533,0.317329488,0.25,0.188255099,0.133474064,0.086880613,0.049515566,0.022213597,0.005584587,0,0.005584587,0.022213597,0.049515566,0.086880613,0.133474064,0.188255099,0.25,0.317329488,0.388739533,0.462634953,0.537365047,0.611260467,0.682670512,0.75,0.811744901,0.866525936,0.913119387,0.950484434,0.977786403,0.994415413,1,,,,
Airfoil Name,Mean camber y coordinates,,,,,,,,,,,,,,,,,,,,,,Thickness array,,,,,,,,,,,,,,,,,,,,,,Cl,Cd,Volume
a63a108c,0.00107715,0.001846903,0.002986816,0.003895079,0.004592706,0.005100711,0.005440109,0.005631914,0.005697141,0.005674284,0.005547919,0.005328146,0.005059106,0.005007368,0.004795015,0.004515468,0.004160689,0.003722637,0.003193275,0.001468907,0.000383193,0,0,0.021529065,0.038300311,0.051768092,0.062141116,0.06962809,0.074437723,0.076778721,0.076859793,0.074369436,0.070190728,0.064322115,0.057197468,0.049744409,0.041192899,0.032614145,0.024418861,0.017017759,0.010821553,0.004977914,0.001298586,0,0.0973,0.00613,0.053505859
ag09,-0.002380597,0.001517898,0.00515905,0.008350074,0.011079177,0.013334563,0.015104439,0.016377012,0.017140487,0.017409756,0.016861735,0.015627784,0.013882491,0.011825214,0.009574434,0.007304097,0.005141312,0.00321319,0.001646838,0.000757545,0.000197621,0,0,0.015501837,0.027840998,0.036981915,0.043251005,0.04697468,0.048479358,0.048091452,0.046137378,0.043192647,0.039231683,0.034717496,0.030005798,0.0254372,0.020926904,0.016541312,0.012426062,0.008726789,0.005589128,0.002570999,0.000670695,0,0.2376,0.00826,0.031438054
ag11,-0.001712591,0.004070615,0.009185813,0.013367112,0.016663778,0.019125077,0.020800278,0.021738646,0.021989449,0.021670088,0.020486911,0.018699996,0.016472808,0.013986532,0.011347837,0.00871447,0.006216889,0.003985551,0.002150915,0.000989421,0.00025811,0,0,0.016360473,0.030052814,0.040697573,0.048545612,0.053847794,0.056854982,0.05781804,0.05698783,0.05460387,0.05084458,0.046051858,0.040536829,0.034745745,0.028600998,0.022501061,0.016707362,0.011481329,0.00708439,0.003258819,0.000850127,0,0.2922,0.00879,0.039241122
ah21-7,0.000770892,0.002089594,0.004540114,0.007128994,0.00977002,0.012376975,0.014863644,0.017143811,0.019131261,0.02067739,0.021670606,0.022038549,0.021662087,0.020496568,0.018819129,0.016704415,0.014211767,0.011400524,0.008330027,0.003831812,0.000999603,0,0,0.018769669,0.036544894,0.051583903,0.063959409,0.073744123,0.081010758,0.085832026,0.088280638,0.088243883,0.085548222,0.080482725,0.073278365,0.064378917,0.054285545,0.043742149,0.033229919,0.023230044,0.014223715,0.006542909,0.001706846,0,0.2996,0.00784,0.063358509
ah79100a,0.002866401,0.001694924,0.004997464,0.00889852,0.013185216,0.017644679,0.022064034,0.026230407,0.029930923,0.032686236,0.034235165,0.034463332,0.03335611,0.030958481,0.027531337,0.02351087,0.01908307,0.014433927,0.009749431,0.004484738,0.001169932,0,0,0.020601184,0.043548968,0.061821482,0.075722111,0.085554239,0.091621251,0.094226531,0.093673464,0.090205757,0.083494116,0.07431324,0.063552629,0.052041485,0.039993005,0.028394311,0.017888291,0.009117832,0.00272582,0.001253877,0.000327098,0,0.6481,0.00843,0.060769231
ah79100c,-0.001649023,0.003099084,0.010679442,0.018849693,0.027285831,0.035663855,0.043659759,0.050949541,0.057209197,0.061742516,0.06404637,0.064005563,0.061601264,0.056915926,0.050575393,0.043234976,0.035224137,0.026872333,0.018509024,0.008514151,0.002221083,0,0,0.021328705,0.042585602,0.06010997,0.074077804,0.084665096,0.092047839,0.096402027,0.097903653,0.096567644,0.092190747,0.085348607,0.076441253,0.066079426,0.054724824,0.043151781,0.031903122,0.02152167,0.012550249,0.005773115,0.00150603,0,1.0213,0.01223,0.068355829
ah79k143,-0.001053677,0.00123702,0.00542653,0.009592737,0.013601528,0.017318792,0.020610416,0.023342288,0.025380296,0.025872655,0.025210756,0.023624244,0.021298298,0.018403021,0.014704344,0.010985843,0.00750395,0.004515098,0.002275716,0.001046829,0.000273086,0,0,0.020392131,0.043268471,0.064659052,0.084169917,0.101407109,0.115976668,0.127484638,0.135537061,0.137945495,0.134970968,0.126967875,0.114805677,0.099720607,0.081097044,0.061957164,0.043449974,0.026724479,0.012929685,0.005947655,0.001551562,0,0.2876,0.00927,0.093807626
ah81k144,-6.65E-05,0.001868811,0.007105379,0.012623997,0.018197431,0.023598446,0.028599808,0.032974281,0.036494632,0.038192815,0.038265135,0.036745915,0.033795675,0.029679856,0.024294218,0.018686467,0.013224825,0.008277515,0.004212757,0.001937868,0.000505531,0,0,0.020573621,0.045003775,0.067380531,0.087377891,0.104669857,0.118930431,0.129833613,0.137053406,0.138498078,0.13440849,0.125341585,0.112287253,0.096550344,0.077382192,0.057945242,0.039437748,0.023057963,0.010004139,0.004601904,0.001200497,0,0.4765,0.00956,0.093180453
ah81k144wfKlappe,0.009670368,0.003035951,0.005296929,0.00709874,0.00847821,0.009472168,0.01011744,0.010450854,0.010509237,0.010410041,0.009987548,0.009358475,0.008732317,0.007942464,0.00695673,0.005861153,0.004684419,0.003455211,0.002202214,0.001013019,0.000264266,0,0,0.056975122,0.11462408,0.155966485,0.182804727,0.196941195,0.200178279,0.194318369,0.181163853,0.165501285,0.144410889,0.120641585,0.096738917,0.075098274,0.057322642,0.041324171,0.027572007,0.016535297,0.008683189,0.003994267,0.001041983,0,0.1567,0.01749,0.115158641
ah82150f,-0.000948595,0.001401668,0.00612531,0.011039057,0.015960581,0.020707553,0.025097643,0.028948522,0.032077861,0.033878751,0.034185888,0.033080149,0.030772989,0.027471937,0.023187384,0.018611621,0.014013847,0.009663262,0.005829067,0.002681371,0.000699488,0,0,0.018501691,0.040793429,0.062358651,0.082682684,0.101250853,0.117548484,0.131060901,0.141273432,0.146409317,0.145613402,0.139145816,0.127757142,0.112551528,0.093711589,0.073832995,0.054036687,0.035443609,0.0191747,0.008820362,0.002300964,0,0.366,0.01036,0.101131654
ah83150q,-0.001009375,0.005054183,0.013069318,0.019977995,0.025774073,0.030451411,0.034003865,0.036425295,0.037709559,0.037600548,0.036053708,0.03332693,0.02961605,0.025201022,0.020126784,0.01506217,0.010310377,0.006174606,0.002958055,0.001360705,0.000354967,0,0,0.023139517,0.049838266,0.073748503,0.094626273,0.11222762,0.126308588,0.13662522,0.142933562,0.143363394,0.137970573,0.127471081,0.113000098,0.095841534,0.075424002,0.054960461,0.035729417,0.019009376,0.006078844,0.002796268,0.000729461,0,0.4637,0.00994,0.09543354
ah85l120,0.001311754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016354366,0.034819093,0.052398554,0.06872063,0.083413202,0.096104152,0.106421361,0.11399271,0.117251129,0.11587081,0.110067886,0.100581336,0.088376945,0.073146754,0.05722424,0.041525741,0.026967592,0.014466128,0.006654419,0.001735935,0,-0.0001,0.00851,0.080800388
